X,Y,X_m,Y_m
0.0,1.2,1.2,0.0
0.05,1.2,1.2,0.05
0.1,1.2,1.2,0.1
0.15,1.2,1.2,0.15
0.2,1.2,1.2,0.2
0.25,1.19,1.19,0.25
0.3,1.17,1.17,0.3
0.35,1.14,1.14,0.35
0.4,1.09,1.09,0.4
0.45,0.991,0.991,0.45
0.5,0.765,0.765,0.5
0.55,0.457,0.457,0.55
0.6,0.212,0.212,0.6
0.65,0.113,0.113,0.65
0.7,0.0711,0.0711,0.7
0.75,0.046,0.046,0.75
0.8,0.0291,0.0291,0.8
0.85,0.0173,0.0173,0.85
0.9,0.0093,0.0093,0.9
0.95,0.00438,0.00438,0.95
1.0,0.0018,0.0018,1.0
1.05,0.000662,0.000662,1.05
1.1,0.000227,0.000227,1.1
1.15,7.53e-05,7.53e-05,1.15
1.2,2.59e-05,2.59e-05,1.2
