X,Y,X_m,Y_m
1,1.62e-05,1.62e-05,1
0.98,2.48e-05,2.48e-05,0.98
0.96,3.89e-05,3.89e-05,0.96
0.94,6.15e-05,6.15e-05,0.94
0.92,9.76e-05,9.76e-05,0.92
0.9,0.000155,0.000155,0.9
0.88,0.000244,0.000244,0.88
0.86,0.000382,0.000382,0.86
0.84,0.000595,0.000595,0.84
0.82,0.000916,0.000916,0.82
0.8,0.0014,0.0014,0.8
0.78,0.0021,0.0021,0.78
0.76,0.00311,0.00311,0.76
0.74,0.00453,0.00453,0.74
0.72,0.00646,0.00646,0.72
0.7,0.00904,0.00904,0.7
0.68,0.0124,0.0124,0.68
0.66,0.0167,0.0167,0.66
0.64,0.0222,0.0222,0.64
0.62,0.0292,0.0292,0.62
0.6,0.0382,0.0382,0.6
0.58,0.05,0.05,0.58
0.56,0.066,0.066,0.56
0.54,0.0892,0.0892,0.54
0.52,0.128,0.128,0.52
0.5,0.199,0.199,0.5
0.48,0.306,0.306,0.48
0.46,0.432,0.432,0.46
0.44,0.566,0.566,0.44
0.42,0.699,0.699,0.42
0.4,0.806,0.806,0.4
0.38,0.869,0.869,0.38
0.36,0.908,0.908,0.36
0.34,0.935,0.935,0.34
0.32,0.954,0.954,0.32
0.3,0.968,0.968,0.3
0.28,0.978,0.978,0.28
0.26,0.985,0.985,0.26
0.24,0.99,0.99,0.24
0.22,0.993,0.993,0.22
0.2,0.996,0.996,0.2
0.18,0.997,0.997,0.18
0.16,0.998,0.998,0.16
0.14,0.999,0.999,0.14
0.12,0.999,0.999,0.12
0.1,1,1,0.1
0.08,1,1,0.08
0.06,1,1,0.06
0.04,1,1,0.04
0.02,1,1,0.02
0,1,1,0
